Type,Day,Name,Title,Affiliation,Abstract,Slides,youtube
talk,1,Coline Zeballos,R Package Validation at Roche,Roche,"R package validation is in all our minds since the pharmaceutical industry started moving away from SAS to R for its statistical analysis and regulatory submissions. Opting for open source programming requires to revisit our way of validating code, internally but also in a cross-Pharma effort when it comes to CRAN. Roche will present its approach to R package validation, and share some material for you to apply.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Zeballos-R_Package_Validation_Roche.pdf,https://youtu.be/xksxuvXVimM
talk,1,Juliane Manitz,Statistical Analysis and Pathway to a Risk-based Assessment of R packages at Merck KGaA/EMD Serono,EMD Serono,"Like many other companies, Merck KGaA/EMD Serono has embarked on their journey to enable the use R for regulatory submissions. Following the framework introduced by the R validation hub (Nicholls et al., 2020), we started to develop an algorithm to qualify a CRAN package as a Merck standard package. In a nutshell: If an R package passes the installation qualification and successfully executes available tests, the package will be made available to the user. Then, an automated risk assessment of R packages is performed based on the test coverage score (more is better) and the riskmetric score generated from the meta-information (smaller is better). If pre-defined thresholds are fulfilled, the package is qualified as Merck standard package, otherwise an explicit (manual) risk assessment is needed. In this presentation, we introduce our pathway to a risk-based assessment of R packages at Merck. We provide relevant details on the statistical analysis which led to the definition of thresholds supporting a robust classification of CRAN packages as Merck standard packages. We want to inspire other companies and seek feedback from the community.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Manitz-Risk_Based_Assessment.pdf,https://youtu.be/g_rAoiDf_ac
talk,1,Thomas Neitmann and Teckla Akinyi,Introducing {admiral}?The ADaM in R Asset Library,Roche | GSK,,https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Neitmann-Admiral.pptx,https://youtu.be/N7Bw8c3D5fU
talk,1,"Volha Tryputsen, Wilson Tendong and Kathy Mutambanengwe",R/Shiny tools for Immune Fitness Exploration,Janssen | Open Analytics,,https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Tryputsen-Immune_Fitness_Exploration.pdf,https://youtu.be/1P4xv8wIWTA
talk,1,Pawel Rucki,5 testing packages to make your package better!,Roche,"In this short talk I will present few packages that can be used inside package testing framework that will help to increase overall quality of a package. The main point of focus would be static R code analysis tools such as well-known {{codetools}} or {{lintr}} and also less popular packages such as {{prefixer}}. For each of them, I am going to give a short introduction, present its configuration capabilities and how to use them within {{testthat}} framework.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Rucki-5_Testing_Packages.pptx,https://youtu.be/Oi79JiY1sA4
talk,1,"Charlotte Soneson, Kevin Rue-Albrecht, Federico Marini, Aaron Lun",Interactive and collaborative exploration of large-scale transcriptomics data with iSEE,Friedrich Miescher Institute,"Detailed exploration of large transcriptomics datasets, increasingly available at single-cell resolution, is a time-consuming task which often requires the complementary skill sets of data analysts and experimental scientists to complete analyses and interpretation in an efficient manner. The iSEE (Interactive SummarizedExperiment Explorer) R/Bioconductor software package (https://bioconductor.org/packages/iSEE/), built on the shiny R framework, provides a general-purpose graphical interface for exploring any rectangular dataset with additional sample and feature annotations, such as single-cell RNA-seq data. Users can create, configure, and interact with the iSEE interface, enabling quick iterations of data visualization. This facilitates generation of new scientific hypotheses and insights into biological phenomena, and empowers a wide range of researchers to explore their data in depth. iSEE also guarantees the reproducibility of the analysis, by reporting the code generating all the output elements as well as the layout and configuration of the user interface. The combination of interactivity and reproducibility makes iSEE an ideal candidate to bridge and complement the expertise of researchers, who are able to design flexible, accessible, and robust dashboards that can also be directly shared and deployed in collaborative contexts - connecting large data collections to broad audiences, thus further increasing the value of generated research data.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Soneson-Large_Scale_Transcriptomics.pdf,https://youtu.be/SZT94n5vnwA
talk,1,Kevin Snyder,SENDing Toxicology Study Data Analysis into the 21st Century with a New R Package: sendigR.,FDA,"The CDISC-SEND data standard has created new opportunities for collaborative development of open-source software solutions to facilitate cross-study analyses of toxicology study data. A public private partnership between BioCelerate and FDA/CDER was established in part to develop and publicize novel methods of extracting value from SEND datasets. As part of this work in collaboration with PHUSE, an R package, sendigR, has been developed to enable end users to easily construct a relational database from any collection of SEND datasets and then query that database to perform cross-study analyses. The package includes an R Shiny application with a graphical user interface, allowing users who are not familiar with the R programming language to perform cross-study analysis. Experienced R programmers, on the other hand, will be able to integrate the package functions into their own custom scripts/packages and potentially contribute improvements to the functionality of sendigR.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Snyder-SENDing_Toxicology_Study_Data_Analysis.pptx,https://youtu.be/OHsxdDY0xrQ
talk,2,Regis James,Intermap: An integrative multiomics approach to generating therapeutic target hypotheses,Regeneron,"In this talk, we will be discussing an architecturally and bioinformatically multi-layered integrative multiomic approach to the development of target hypotheses.

Scientists work to help pharmaceutical companies advance towards the identification of potent therapeutics on a daily basis. In some scenarios, biological scientists can develop therapeutic tools without a specific target in mind. In this case, they would like to generate a list of potential targets for their tools, within a given set of parameters for the delivery. However, combing through all of the appropriate databases to find these targets that have the appropriate molecular biology characteristics, viable mouse models that recapitulate the human disease phenotypes, and pathologies in the tissues of interest, to generate this list is very difficult to perform manually.

This work requires making recursive decisions from the present wealth of biological literature and its data at scale. Such decision-making is a herculean task that requires the simultaneous propagated joins of annotated entity catalogs (genes, knockout mice, diseases, structured vocabulary terms, etc.) and, orthogonally, recursive filtration of hierarchical associations between those entities and controlled biomedical vocabularies.

To streamline and accelerate this process, we used public data repositories (Uniprot, National Center for Biotechnology Information, International Mouse Phenotyping Consortium, Online Mendelian Inheritance in Man), ontologies (Gene Ontology, Mammalian Phenotype Ontology, Human Phenotype Ontology), and their multi-species (mouse, human) entity annotations to populate and index a MySQL relational database and a Neo4j graph database with their descriptive and relational properties.

We then built an API (application programming interface) via the plumber package for R to dynamically generate optimized SQL and Neo4j Cypher queries that interact with the MySQL database, via the RMariaDB package for R, and the Neo4j graph database, via the neo4r package for R, to fuse data across the ingested biomedical repository data and use the yielded results to generate parseable JSON objects.

Finally, we built a user-friendly shiny app for constructing and submitting queries via the API, parsing the JSON API outputs, and providing interactive network visualizations of the queries via the VisNet package for R, in-depth explanations of how the results were generated, and links to external resources for further relevant scientific data. We delivered this app to fellow scientist collaborators via RStudio Connect, enabling these biologists to, within milliseconds, leverage high-dimensional, multi-species relationships to identify potential targets.
",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-James-Intermap.pdf,https://youtu.be/fHO6PpJoL2k
talk,2,"Monika Huhn, Saleha Patel, Kalliopi Tsafou, Bj?rn Magnusson, Elke Ericson, Wen Yu, Eliseo Papa, Stefano Bragaglia, Claire Donoghue, Faisal Khan, Hitesh Sanganee, Shameer Khader, Adrian Freeman",OneView ? A Shiny app to unlock the full potential of drug repositioning investigations,Astra Zeneca,"Drug repositioning is an area of growing interest in drug development that can accelerate the discovery of new treatment options to benefit patients worldwide. Briefly, drug repositioning refers to the systematic investigation of a novel disease indication for a drug molecule. Drug repositioning can be accelerated using various tools and technologies, including intelligent dashboards, data integration and human-in-the-loop machine learning. A typical drug repositioning investigation generates a large amount that often needs to be linked and interpreted using a visual grammar familiar to various scientific groups leading drug repositioning investigation. We developed OneView - a shiny app that enables seamless integration, computing and visualization to accelerate drug repositioning investigations. As in many clinical and pre-clinical projects, the problem that OneView tries to solve is to connect biologists and clinicians with the data in a meaningful way. The core data behind the dashboard are from an analysis comparing transcriptomic signatures of drug molecules with hundreds of disease transcriptomic signatures, creating connections between a compound and diseases based on an inverse correlation between the transcriptomic signatures. To fully understand the significance of the relationships, OneView provides a dynamic dashboard enabling scientists to filter/search within the data, follow connections through multiple datasets, and provide meaningful interactive visualizations. We have incorporated additional data from several internal knowledge repositories to find further evidence to substantiate potential links between a compound and a disease. 
From a technical aspect, the most challenging part has been visualizing the data in the best way. A lot of the interesting information is in the standard connections of different elements in the data - such as common genes in multiple mappings between compound and disease signatures. In many cases, network plots were too busy to display those connections meaningfully. Instead, UpSet plots were found the best way to visualize interactions between multiple sets. While several packages are implementing UpSet plots in R, none of them allowed for interactive visualizations. To allow interaction with the visualization and further drilling down the data by selecting bars in the graph, we implemented our version of UpSet plots using the JavaScript library D3.",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Huhn-OneView.html,https://youtu.be/vgvLs98yTIM
talk,2,Annekathrin Ludt,GeneTonic: enjoying the interpretation of your RNA-seq data analysis,IMBEI,"RNA-seq transcriptome analysis workflows often generate the essential information (data and results) distributed among a variety of different tabular files and formats, e.g. raw and normalized expression values, results of differential gene expression analysis, or functional enrichment analysis. The efficient interpretation of the results can be hampered due to this fragmentation, and the same can happen even when providing static analysis reports. 
We developed the GeneTonic package (https://bioconductor.org/packages/GeneTonic/), containing a Shiny application which provides an efficient and interactive solution to combine the results of RNA-seq analysis. GeneTonic assists users in the identification of relevant functional patterns, as well as their contextualization in the data and results at hand, with interactivity (to make the analysis simple and accessible) and reproducibility (via RMarkdown reports) to simplify the integration of all components and communication of results. 
With GeneTonic, researchers can generate a variety of visualizations, including bird?s eye perspective summaries (with interactive bipartite gene-geneset graphs or enrichment maps) as well as detailed information and visualizations of individual genes and gene-sets. These can be further inspected via drill-down actions that display additional content in specific elements of the user interface, streamlining analysis, interpretation, and knowledge extraction of transcriptome data for a broad spectrum of collaborating scientists. 
(https://doi.org/10.1101/2021.05.19.444862)",https://github.com/rinpharma/2021_presentations/tree/master/talks_folder/2021-Ludt-GeneTonic.pptx,https://youtu.be/9jRr62u_Kz8
